,input,mod,spp,accel_structure,render_time,intersections_per_ray
0,02_cornelbox,linear,1,0.00019999999999999998,128.7052,30.0
1,02_cornelbox,linear,1,9.999999999999999e-05,118.3805,30.0
2,02_cornelbox,linear,1,0.0,130.5177,30.0
3,02_cornelbox,linear,1,9.999999999999999e-05,134.9337,30.0
4,02_cornelbox,linear,1,0.0,123.9765,30.0
5,02_cornelbox,linear,1,0.0,130.3615,30.0
6,02_cornelbox,linear,1,9.999999999999999e-05,128.7766,30.0
7,02_cornelbox,linear,1,9.999999999999999e-05,119.793,30.0
8,02_cornelbox,linear,1,0.0,120.2016,30.0
9,02_cornelbox,linear,1,9.999999999999999e-05,131.95,30.0
10,02_cornelbox,spatial-longest,1,0.0296,80.2598,2.6750659737602236
11,02_cornelbox,spatial-longest,1,0.0165,87.7959,2.6750659737602236
12,02_cornelbox,spatial-longest,1,0.0184,84.5971,2.6750659737602236
13,02_cornelbox,spatial-longest,1,0.0329,79.9269,2.6750659737602236
14,02_cornelbox,spatial-longest,1,0.0171,89.4036,2.6750659737602236
15,02_cornelbox,spatial-longest,1,0.017,84.3573,2.6750659737602236
16,02_cornelbox,spatial-longest,1,0.0189,80.7642,2.6750659737602236
17,02_cornelbox,spatial-longest,1,0.017,86.0453,2.6750659737602236
18,02_cornelbox,spatial-longest,1,0.016399999999999998,85.0429,2.6750659737602236
19,02_cornelbox,spatial-longest,1,0.0185,78.7013,2.6750659737602236
20,02_cornelbox,spatial-random,1,0.0161,82.4098,2.622118521938225
21,02_cornelbox,spatial-random,1,0.0314,81.9016,2.622118521938225
22,02_cornelbox,spatial-random,1,0.0173,75.4273,2.622118521938225
23,02_cornelbox,spatial-random,1,0.017,82.5292,2.622118521938225
24,02_cornelbox,spatial-random,1,0.0183,83.1121,2.622118521938225
25,02_cornelbox,spatial-random,1,0.016399999999999998,81.2107,2.622118521938225
26,02_cornelbox,spatial-random,1,0.0176,75.6927,2.622118521938225
27,02_cornelbox,spatial-random,1,0.0201,82.6548,2.622118521938225
28,02_cornelbox,spatial-random,1,0.0162,86.4634,2.622118521938225
29,02_cornelbox,spatial-random,1,0.0163,81.0201,2.622118521938225
30,02_cornelbox,spatial-robin,1,0.0194,77.4812,2.622118521938225
31,02_cornelbox,spatial-robin,1,0.016,87.7135,2.622118521938225
32,02_cornelbox,spatial-robin,1,0.0167,80.7415,2.622118521938225
33,02_cornelbox,spatial-robin,1,0.018099999999999998,77.6745,2.622118521938225
34,02_cornelbox,spatial-robin,1,0.0168,85.3079,2.622118521938225
35,02_cornelbox,spatial-robin,1,0.0161,81.3985,2.622118521938225
36,02_cornelbox,spatial-robin,1,0.018199999999999997,77.0628,2.622118521938225
37,02_cornelbox,spatial-robin,1,0.017499999999999998,83.2597,2.622118521938225
38,02_cornelbox,spatial-robin,1,0.0161,80.9295,2.622118521938225
39,02_cornelbox,spatial-robin,1,0.0173,81.2489,2.622118521938225
40,02_cornelbox,median-longest,1,0.2011,87.9673,2.560033711414637
41,02_cornelbox,median-longest,1,0.0188,87.5947,2.560033711414637
42,02_cornelbox,median-longest,1,0.0188,83.1556,2.560033711414637
43,02_cornelbox,median-longest,1,0.0171,88.502,2.560033711414637
44,02_cornelbox,median-longest,1,0.0196,87.4473,2.560033711414637
45,02_cornelbox,median-longest,1,0.0177,87.7841,2.560033711414637
46,02_cornelbox,median-longest,1,0.0193,83.4343,2.560033711414637
47,02_cornelbox,median-longest,1,0.018000000000000002,91.4216,2.560033711414637
48,02_cornelbox,median-longest,1,0.0177,87.7403,2.560033711414637
49,02_cornelbox,median-longest,1,0.0195,87.656,2.560033711414637
50,02_cornelbox,median-random,1,0.0194,88.1173,2.594346305384355
51,02_cornelbox,median-random,1,0.0188,89.5956,2.594346305384355
52,02_cornelbox,median-random,1,0.0217,85.7532,2.594346305384355
53,02_cornelbox,median-random,1,0.0189,88.8329,2.594346305384355
54,02_cornelbox,median-random,1,0.02,89.7137,2.594346305384355
55,02_cornelbox,median-random,1,0.022799999999999997,87.9444,2.594346305384355
56,02_cornelbox,median-random,1,0.0192,88.2308,2.594346305384355
57,02_cornelbox,median-random,1,0.0205,88.3958,2.594346305384355
58,02_cornelbox,median-random,1,0.019,88.8355,2.594346305384355
59,02_cornelbox,median-random,1,0.0216,83.8118,2.594346305384355
60,02_cornelbox,median-robin,1,0.0193,92.421,2.594346305384355
61,02_cornelbox,median-robin,1,0.02,87.1958,2.594346305384355
62,02_cornelbox,median-robin,1,0.0222,84.1348,2.594346305384355
